index,name,description,group,unit
74,DivAng_P1-EMS,angle between division axis of P1 and division axis of EMS,4 cell-8 cell,?
75,DivAng_P1-P2,angle between division axis of P1 and division axis of P2,4 cell-8 cell,?
76,DivAng_ABa-ABp,angle between division axis of ABa and division axis of ABp,4 cell-8 cell,?
77,DivAng_ABa-EMS,angle between division axis of ABa and division axis of EMS,4 cell-8 cell,?
78,DivAng_ABa-P2,angle between division axis of ABa and division axis of P2,4 cell-8 cell,?
79,DivAng_ABp-EMS,angle between division axis of ABp and division axis of EMS,4 cell-8 cell,?
80,DivAng_ABp-P2,angle between division axis of ABp and division axis of P2,4 cell-8 cell,?
81,DivAng_EMS-P2,angle between division axis of EMS and division axis of P2,4 cell-8 cell,?
82,NucMov_AB,movement distance of AB nucleus,2 cell,mm
83,NucMov_ABa,movement distance of ABa nucleus,4 cell,mm
84,NucMov_ABp,movement distance of ABp nucleus,4 cell,mm
85,NucMov_EMS,movement distance of EMS nucleus,4 cell,mm
86,NucMov_P1,movement distance of P1 nucleus,2 cell,mm
87,NucMov_P2,movement distance of P2 nucleus,4 cell,mm
88,NucDis_AB-P1_m2,distance bewteen AB nucleus and P1 nucleus,2 cell,mm
89,NucDis_ABa-ABp_m4,distance between ABa nucleus and ABp nucleus,4 cell,mm
90,NucDis_ABa-EMS_m4,distance between ABa nucleus and EMS nucleus,4 cell,mm
91,NucDis_ABa-P2_m4,distance between ABa nucleus and P2 nucleus,4 cell,mm
92,NucDis_ABp-EMS_m4,distance between ABp nucleus and EMS nucleus,4 cell,mm
93,NucDis_ABp-P2_m4,distance between ABp nucleus and P2 nucleus,4 cell,mm
94,NucDis_EMS-P2_m4,distance between EMS nucleus and P2 nucleus,4 cell,mm
95,SpnIntg_AB_1st,first principal axis of AB nuclear regions at the first time point of mitotic phase,2 cell-4 cell,mm
96,SpnIntg_AB_2nd,second principal axis of AB nuclear regions at the first time point of mitotic phase,2 cell-4 cell,mm
